Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
36,Roald Dahl's Matilda the Musical,2022,93%,"Roald Dahl's Matilda the Musical brings the classic story back to the screen with a delightful Emma Thompson, dazzling dancing, and a suitably irascible take on the source material.",An extraordinary girl with a sharp mind and vivid imagination takes a daring stand to change her story -- with [More],"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",Matthew Warchus
37,Cam,2018,93%,"Smart and suspenseful, CAM is a techno-thriller that's far more than the sum of its salacious parts -- and an outstanding showcase for Madeline Brewer in the leading role.","A camgirl has her principles, until a mysterious woman who looks just like her takes over her channel. [More]","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid",Daniel Goldhaber
38,Glass Onion: A Knives Out Mystery,2022,91%,Glass Onion: A Knives Out Mystery brings back Benoit Blanc for another wildly entertaining mystery rounded out by an outstanding ensemble cast.,Benoit Blanc returns to peel back the layers in a new Rian Johnson whodunit. This fresh adventure finds the intrepid [More],"Daniel Craig, Edward Norton, Dave Bautista, Kate Hudson",Rian Johnson
39,Dallas Buyers Club,2013,92%,"Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.","In mid-1980s Texas, electrician Ron Woodroof (Matthew McConaughey) is stunned to learn that he has AIDS. Though told that he [More]","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare",Jean-Marc Vallée
40,Nimona,2023,92%,"Tapping a rich emotional vein with its splendid animation and thoughtful allegory, Nimona is a deeply lovable animated adventure.","When Ballister Boldheart (Riz Ahmed), a knight in a futuristic medieval world, is framed for a crime he didn't commit, [More]","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Jordan Gubian","Nick Bruno, Troy Quane"
41,Do the Right Thing,1989,92%,"Smart, vibrant, and urgent without being didactic, Do the Right Thing is one of Spike Lee's most fully realized efforts -- and one of the most important films of the 1980s.","Salvatore ""Sal"" Fragione (Danny Aiello) is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out (Giancarlo [More]","Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson",Spike Lee
42,Sicario,2015,92%,"Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.","After rising through the ranks of her male-dominated profession, idealistic FBI agent Kate Macer receives a top assignment. Recruited by [More]","Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber",Denis Villeneuve
43,El Camino: A Breaking Bad Movie,2019,92%,"Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul.",Jesse Pinkman flees from the police and tries to escape his inner turmoil. [More],"Aaron Paul, Matt L. Jones, Charles Baker, Jonathan Banks",Vince Gilligan
44,Set It Up,2018,92%,"Set It Up follows the long-established outlines of the rom-com template -- and in the process, proves there's still substantial pleasure to be wrought from familiar formulas.",Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them [More],"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Claire Scanlon
45,The Willoughbys,2020,92%,"An appealing animated adventure whose silliness is anchored in genuine emotion, The Willoughbys offers fanciful fun the entire family can enjoy.","Neglected by their parents, four old-fashioned siblings venture out into the modern world with their new nanny. [More]","Will Forte, Maya Rudolph, Alessia Cara, Terry Crews",Kris Pearn
46,Orion and the Dark,2024,92%,"An uncommonly ambitious animated film, Orion and the Dark benefits from a Charlie Kaufman screenplay that isn't afraid to tangle with existential ideas.","The thing Orion fears the most is the dark. When the embodiment of his worst fear pays a visit, Dark [More]","Jacob Tremblay, Paul Walter Hauser, Werner Herzog, Angela Bassett",Sean Charmatz
47,1922,2017,92%,"Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane, 1922 ranks among the more satisfying Stephen King adaptations.",A rancher conspires to murder his wife for financial gain and convinces his teenage son to participate. [More],"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James",Zak Hilditch
48,Da 5 Bloods,2020,92%,"Fierce energy and ambition course through Da 5 Bloods, coming together to fuel one of Spike Lee's most urgent and impactful films.",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of [More],"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis",Spike Lee
49,A Quiet Place Part II,2021,91%,"A nerve-wracking continuation of its predecessor, A Quiet Place Part II expands the terrifying world of the franchise without losing track of its heart.","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they [More]","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe",John Krasinski
50,A Quiet Place Part II,2021,91%,"A nerve-wracking continuation of its predecessor, A Quiet Place Part II expands the terrifying world of the franchise without losing track of its heart.","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they [More]","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe",John Krasinski
