Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
20,Klaus,2019,95%,"Beautiful hand-drawn animation and a humorous, heartwarming narrative make Klaus an instant candidate for holiday classic status.",A desperate postman accidentally brings about the genesis of Santa Claus. [More],"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",Sergio Pablos
21,Spider-Man: Across the Spider-Verse,2023,95%,"Just as visually dazzling and action-packed as its predecessor, Spider-Man: Across the Spider-Verse thrills from start to cliffhanger conclusion.","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, [More]","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson"
22,Hit Man,2023,95%,"A deceptively dark thriller that's also loaded with laughs, Hit Man is an outstanding showcase for leading man Glen Powell -- and one of the most purely entertaining films of Richard Linklater's career.","Oscar-nominated director Richard Linklater's sunlit neo-noir stars Glen Powell as strait-laced professor Gary Johnson, who moonlights as a fake hit [More]","Glen Powell, Adria Arjona, Austin Amelio, Retta",Richard Linklater
23,The Irishman,2019,95%,"An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.","In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs [More]","Robert De Niro, Al Pacino, Joe Pesci, Anna Paquin",Martin Scorsese
24,Marriage Story,2019,95%,"Observing a splintering union with compassion and expansive grace, the powerfully acted Marriage Story ranks among writer-director Noah Baumbach's best works.",A stage director and his actor wife struggle through a grueling divorce that pushes them to their limits. [More],"Scarlett Johansson, Adam Driver, Azhy Robertson, Laura Dern",Noah Baumbach
25,They Cloned Tyrone,2023,95%,"They Cloned Tyrone is provocative, clever sci-fi with an exceptional cast.","A series of eerie events thrusts an unlikely trio (John Boyega, Jamie Foxx and Teyonah Parris) onto the trail of [More]","John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland",Juel Taylor
26,The Wonderful Story of Henry Sugar,2023,95%,"With The Wonderful Story of Henry Sugar, Wes Anderson returns to the world of Roald Dahl -- and proves his distinctive style is a comfortable fit for one of the author's sweetest stories.",The Wonderful Story of Henry Sugar: A rich man learns about a guru who can see without using his eyes. He [More],"Benedict Cumberbatch, Ralph Fiennes, Ben Kingsley, Dev Patel",Wes Anderson
27,Hustle,2022,94%,"Hustle doesn't have any fancy moves, but it doesn't need them -- Adam Sandler's everyman charm makes this easy layup fun to watch.","Stanley Sugerman's (Adam Sandler) love for basketball is unparalleled, but the travel weary Philadelphia 76ers scout who has higher ambitions [More]","Adam Sandler, Juancho Hernangomez, Queen Latifah, Ben Foster",Jeremiah Zagar
28,The Sea Beast,2022,94%,"An original animated tale that's often as daring as its characters, The Sea Beast sends audiences on a voyage well worth taking.","In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes -- and none were more beloved [More]","Karl Urban, Zaris-Angel Hator, Jared Harris, Dan Stevens",Chris Williams
29,Emily the Criminal,2022,94%,"A taut thriller that contains a wealth of social commentary, Emily the Criminal is stolen by Aubrey Plaza's terrific work in the title role.",Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal [More],"Aubrey Plaza, Theo Rossi, Megalyn Echikunwoke, Jonathan Avigdori",John Patton Ford
30,Private Life,2018,94%,Private Life uses one couple's bumpy journey to take an affecting look at an easily identifiable - and too rarely dramatized - rite of adult passage.,A couple coping with infertility struggle to keep their marriage going as they navigate through the world of adoption and [More],"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon",Tamara Jenkins
31,The Power of the Dog,2021,94%,"Brought to life by a stellar ensemble led by Benedict Cumberbatch, The Power of the Dog reaffirms writer-director Jane Campion as one of her generation's finest filmmakers.","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past [More]","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",Jane Campion
32,You Hurt My Feelings,2023,94%,"Smart, funny, and above all entertaining, You Hurt My Feelings finds writer-director Nicole Holofcener as sharply perceptive as ever.",From acclaimed filmmaker Nicole Holofcener comes a sharply observed comedy about a novelist whose long standing marriage is suddenly upended [More],"Julia Louis-Dreyfus, Tobias Menzies, Michaela Watkins, Arian Moayed",Nicole Holofcener
33,The Lost Daughter,2021,94%,"A strikingly assured debut for writer-director Maggie Gyllenhaal, The Lost Daughter unites a brilliant cast in service of a daringly ambitious story.","Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the [More]","Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley",Maggie Gyllenhaal
34,Spider-Man 2,2004,93%,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is [More]","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Sam Raimi
35,Enola Holmes 2,2022,93%,"Building on its predecessor with boisterously entertaining flair, Enola Holmes 2 solves the mystery of how to make a satisfying sequel -- and makes it look positively elementary.","Fresh off the triumph of solving her first case, Enola Holmes (Millie Bobby Brown) follows in the footsteps of her [More]","Millie Bobby Brown, Henry Cavill, Helena Bonham Carter, David Thewlis",Harry Bradbeer
36,Roald Dahl's Matilda the Musical,2022,93%,"Roald Dahl's Matilda the Musical brings the classic story back to the screen with a delightful Emma Thompson, dazzling dancing, and a suitably irascible take on the source material.",An extraordinary girl with a sharp mind and vivid imagination takes a daring stand to change her story -- with [More],"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",Matthew Warchus
37,Cam,2018,93%,"Smart and suspenseful, CAM is a techno-thriller that's far more than the sum of its salacious parts -- and an outstanding showcase for Madeline Brewer in the leading role.","A camgirl has her principles, until a mysterious woman who looks just like her takes over her channel. [More]","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid",Daniel Goldhaber
38,Glass Onion: A Knives Out Mystery,2022,91%,Glass Onion: A Knives Out Mystery brings back Benoit Blanc for another wildly entertaining mystery rounded out by an outstanding ensemble cast.,Benoit Blanc returns to peel back the layers in a new Rian Johnson whodunit. This fresh adventure finds the intrepid [More],"Daniel Craig, Edward Norton, Dave Bautista, Kate Hudson",Rian Johnson
39,Dallas Buyers Club,2013,92%,"Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.","In mid-1980s Texas, electrician Ron Woodroof (Matthew McConaughey) is stunned to learn that he has AIDS. Though told that he [More]","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare",Jean-Marc Vallée
40,Nimona,2023,92%,"Tapping a rich emotional vein with its splendid animation and thoughtful allegory, Nimona is a deeply lovable animated adventure.","When Ballister Boldheart (Riz Ahmed), a knight in a futuristic medieval world, is framed for a crime he didn't commit, [More]","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Jordan Gubian","Nick Bruno, Troy Quane"
41,Do the Right Thing,1989,92%,"Smart, vibrant, and urgent without being didactic, Do the Right Thing is one of Spike Lee's most fully realized efforts -- and one of the most important films of the 1980s.","Salvatore ""Sal"" Fragione (Danny Aiello) is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out (Giancarlo [More]","Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson",Spike Lee
42,Sicario,2015,92%,"Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.","After rising through the ranks of her male-dominated profession, idealistic FBI agent Kate Macer receives a top assignment. Recruited by [More]","Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber",Denis Villeneuve
43,El Camino: A Breaking Bad Movie,2019,92%,"Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul.",Jesse Pinkman flees from the police and tries to escape his inner turmoil. [More],"Aaron Paul, Matt L. Jones, Charles Baker, Jonathan Banks",Vince Gilligan
44,Set It Up,2018,92%,"Set It Up follows the long-established outlines of the rom-com template -- and in the process, proves there's still substantial pleasure to be wrought from familiar formulas.",Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them [More],"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Claire Scanlon
45,The Willoughbys,2020,92%,"An appealing animated adventure whose silliness is anchored in genuine emotion, The Willoughbys offers fanciful fun the entire family can enjoy.","Neglected by their parents, four old-fashioned siblings venture out into the modern world with their new nanny. [More]","Will Forte, Maya Rudolph, Alessia Cara, Terry Crews",Kris Pearn
46,Orion and the Dark,2024,92%,"An uncommonly ambitious animated film, Orion and the Dark benefits from a Charlie Kaufman screenplay that isn't afraid to tangle with existential ideas.","The thing Orion fears the most is the dark. When the embodiment of his worst fear pays a visit, Dark [More]","Jacob Tremblay, Paul Walter Hauser, Werner Herzog, Angela Bassett",Sean Charmatz
47,1922,2017,92%,"Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane, 1922 ranks among the more satisfying Stephen King adaptations.",A rancher conspires to murder his wife for financial gain and convinces his teenage son to participate. [More],"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James",Zak Hilditch
48,Da 5 Bloods,2020,92%,"Fierce energy and ambition course through Da 5 Bloods, coming together to fuel one of Spike Lee's most urgent and impactful films.",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of [More],"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis",Spike Lee
49,A Quiet Place Part II,2021,91%,"A nerve-wracking continuation of its predecessor, A Quiet Place Part II expands the terrifying world of the franchise without losing track of its heart.","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they [More]","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe",John Krasinski
50,A Quiet Place Part II,2021,91%,"A nerve-wracking continuation of its predecessor, A Quiet Place Part II expands the terrifying world of the franchise without losing track of its heart.","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they [More]","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe",John Krasinski
51,Beasts of No Nation,2015,91%,"Beasts of No Nation finds writer-director Cary Fukunaga working with a talented cast to offer a sobering, uncompromising, yet still somehow hopeful picture of war's human cost.","As civil war rages in Africa, a fierce warlord (Idris Elba) trains a young orphan (Abraham Attah) to join his [More]","Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan",Cary Joji Fukunaga
52,The Squid and the Whale,2005,91%,"This is a piercingly honest, acidly witty look at divorce and its impact on a family.","A pair of brothers living in Brooklyn are caught in the middle of, and deeply affected by, the divorce of [More]","Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline",Noah Baumbach
53,Apollo 10 1/2: A Space Age Childhood,2022,91%,"The sweetly nostalgic Apollo 10 1/2: A Space Age Childhood finds Richard Linklater reusing visual and thematic ingredients in a deeply personal, freshly inspired way.",Apollo 10 ½: A Space Age Childhood tells the story of the first moon landing in the summer of 1969 [More],"Jack Black, Bill Wise, Lee Eddy, Milo Coy",Richard Linklater
54,The White Tiger,2021,91%,"Well-acted and beautifully made, The White Tiger distills the strengths of its source material into a grimly compelling drama.",Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India. [More],"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",Ramin Bahrani
55,Gerald's Game,2017,91%,Carla Gugino carries Gerald's Game's small-scale suspense with a career-defining performance.,"A woman accidentally kills her husband during a kinky game. Handcuffed to her bed with no hope of rescue, she [More]","Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",Mike Flanagan
56,Woman of the Hour,2023,91%,"Deftly directed by star Anna Kendrick, Woman of the Hour uses an incredible true story as the foundation for a powerful examination of the intersection between systemic misogyny and violence.",An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of [More],"Anna Kendrick, Tony Hale, Kelley Jakle, Max Lloyd-Jones",Anna Kendrick
57,May December,2023,91%,"Swaddling its difficult fact-based story in a blanket of campy humor, May December is a seductively discomfiting watch.","Twenty years after their notorious tabloid romance gripped the nation, Gracie Atherton-Yu and her husband Joe (twenty-three years her junior) [More]","Natalie Portman, Julianne Moore, Cory Michael Smith, Charles Melton",Todd Haynes
58,You Are So Not Invited to My Bat Mitzvah,2023,91%,"A coming-of-age comedy that sidesteps simple nostalgia, You Are So Not Invited to My Bat Mitzvah finds fresh humor in adolescent anxiety -- and suggests a bright future for star Sunny Sandler.","Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. However, things start to go comically awry [More]","Idina Menzel, Jackie Sandler, Adam Sandler, Sadie Sandler",Sammi Cohen
59,High Flying Bird,2019,91%,High Flying Bird takes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.,A sports agent pitches a controversial business opportunity to a rookie basketball player during a lockout. [More],"André Holland, Zazie Beetz, Bill Duke, Sonja Sohn",Steven Soderbergh
60,All Quiet on the Western Front,2022,90%,"Both timely and timeless, All Quiet on the Western Front retains the power of its classic source material by focusing on the futility of war.",All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of [More],"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus",Edward Berger
61,Society of the Snow,2023,90%,"Society of the Snow brings masterful technical skill to bear on its tale of real-life tragedy, but none of that spectacle comes at the expense of its simple, powerful message.","In 1972, Uruguayan Air Force Flight 571, which had been chartered to fly a rugby team to Chile, crashed in [More]","Enzo Vogrincic, Agustín Pardella, Esteban Bigliardi, Simón Hempe",J. A. Bayona
62,On Body and Soul,2017,90%,"Tender performances and a strong sense of style combine to create an eccentric, dreamy portrait of love and loneliness in On Body and Soul.","When a man and woman who meet at work begin to know each other, they discover that they have the [More]","Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy",Ildikó Enyedi
63,Hereditary,2018,90%,"Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.","When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying [More]","Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd",Ari Aster
64,Spider-Man,2002,90%,"Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.","""Spider-Man"" centers on student Peter Parker (Tobey Maguire) who, after being bitten by a genetically-altered spider, gains superhuman strength and [More]","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",Sam Raimi
65,The Kindergarten Teacher,2018,90%,"Elevated by a bravura performance from Maggie Gyllenhaal, The Kindergarten Teacher is one American remake that retains its impact the second time around.",A teacher sees such great promise in her 5-year-old student that she goes to unreasonable lengths to protect his talent. [More],"Maggie Gyllenhaal, Gael García Bernal, Michael Chernus, Anna Baryshnikov",Sara Colangelo
66,The Trial of the Chicago 7,2020,89%,"An actors' showcase enlivened by its topical fact-based story, The Trial of the Chicago 7 plays squarely -- and compellingly -- to Aaron Sorkin's strengths.","In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the [More]","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong",Aaron Sorkin
67,Paddleton,2019,89%,"It takes its time coming together, but the quietly effective Paddleton pulls off a tricky tonal balancing act, thanks largely to the strengths of its well-chosen leads.",An unlikely friendship between two misfit neighbors becomes an unexpected emotional journey when the younger man is diagnosed with terminal [More],"Mark Duplass, Ray Romano, Marguerite Moreau, Christine Woods",Alex Lehmann
68,Always Be My Maybe,2019,89%,"Carried by the infectious charms of Ali Wong and Randall Park, Always Be My Maybe takes familiar rom-com beats and cleverly layers in smart social commentary to find its own sweet groove.",Childhood sweethearts have a falling out and don't speak for 15 years. They reconnect as adults when Sasha runs into [More],"Ali Wong, Randall Park, Keanu Reeves, Michelle Buteau",Nahnatchka Khan
69,The Ballad of Buster Scruggs,2018,89%,The Ballad of Buster Scruggs avoids anthology pitfalls with a consistent collection tied together by the Coen brothers' signature blend of dark drama and black humor.,An anthology of six short films that take place in 19th-century post-Civil War era during the settling of the Old [More],"Tim Blake Nelson, Willie Watson, David Krumholtz, James Franco","Joel Coen, Ethan Coen"
70,I Don't Feel at Home in This World Anymore,2017,89%,"I don't feel at home in this world anymore. transcends its unwieldy title to offer timely, intoxicatingly dark observations on gender dynamics and social norms in modern America.","After being burglarized, a depressed woman (Melanie Lynskey) and her obnoxious neighbor set out to find the thieves, but they [More]","Melanie Lynskey, Elijah Wood, David Yow, Jane Levy",Macon Blair
71,Mary and The Witch's Flower,2017,89%,"Mary and the Witch's Flower honors its creator's Studio Ghibli roots with a gentle, beautifully animated story whose simplicity is rounded out by its entrancing visuals.","Young Mary follows a mysterious cat into the nearby forest and discovers an old broomstick and the strange Fly-by-Night flower, [More]","Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet, Jim Broadbent",Hiromasa Yonebayashi
72,Compliance,2012,89%,"Anchored by smart, sensitive direction and strong performances, Complicance is a ripped-from-the-headlines thriller that's equal parts gripping and disturbing.","A fast-food worker (Dreama Walker) who's accused of theft is put through the wringer as her boss (Ann Dowd), at [More]","Ann Dowd, Dreama Walker, Pat Healy, Bill Camp",Craig Zobel
73,The Breaker Upperers,2018,89%,"The Breaker Upperers brings the laughs early and often, thanks to the dry wit -- and effervescent chemistry -- of writer-director-star duo Jackie van Beek and Madeleine Sami.",Two cynical women create an agency that helps break up couples in an attempt to avoid moving on with their [More],"Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola","Madeleine Sami, Jackie van Beek"
74,1917,2019,88%,"Hard-hitting, immersive, and an impressive technical achievement, 1917 captures the trench warfare of World War I with raw, startling immediacy.","During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. [More]","George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott",Sam Mendes
75,The Two Popes,2019,88%,"Led by outstanding performances from its well-matched leads, The Two Popes draws absorbing drama from a pivotal moment in modern organized religion.","Behind the Vatican walls, Pope Benedict and the future Pope Francis must find common ground to forge a new path [More]","Jonathan Pryce, Anthony Hopkins, Juan Minujín, Sidney Cole",Fernando Meirelles
76,Field of Dreams,1989,88%,"Field of Dreams is sentimental, but in the best way; it's a mix of fairy tale, baseball, and family togetherness.","When Iowa farmer Ray hears a mysterious voice one night in his cornfield saying ""If you build it, he will [More]","Kevin Costner, Amy Madigan, James Earl Jones, Gaby Hoffmann",Phil Alden Robinson
77,Fear Street Part Two: 1978,2021,88%,"A smart and subversive twist on slasher horror, Fear Street Part II: 1978 shows that summer camp has never been scarier thanks to stellar performances from Sadie Sink, Emily Rudd, and Ryan Simpkins.","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider [More]","Sadie Sink, Emily Rudd, Ryan Simpkins, Chiara Aurelia",Leigh Janiak
78,The Age of Innocence,1993,88%,"Equal measures romantic and wistful, Martin Scorsese's elegant adaptation of The Age of Innocence is a triumphant exercise in both stylistic and thematic restraint.",Wealthy lawyer Newland Archer (Daniel Day-Lewis) is engaged to sweet socialite May Welland (Winona Ryder) in 1870s New York. On [More],"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Richard E. Grant",Martin Scorsese
79,Pride & Prejudice,2005,87%,"Sure, it's another adaptation of cinema's fave Jane Austen novel, but key performances and a modern filmmaking sensibility make this familiar period piece fresh and enjoyable.","In this adaptation of Jane Austen's beloved novel, Elizabeth Bennet (Keira Knightley) lives with her mother, father and sisters in [More]","Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland",Joe Wright
80,The Breakfast Club,1985,87%,"If The Breakfast Club's gestures towards authenticity are occasionally undercut by trendy flourishes, its blistering emotional honesty and talented troupe of young actors catapult it to the top of the teen comedy class.",Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group [More],"Emilio Estevez, Molly Ringwald, Judd Nelson, Paul Gleason",John Hughes
81,My Father's Dragon,2022,87%,"My Father's Dragon will soar particularly high with very young viewers, but this animated adventure has something to offer audiences of all ages.","Struggling to cope after a move to the city with his mother, Elmer runs away in search of Wild Island [More]","Gaten Matarazzo, Leighton Meester, Jackie Earle Haley, Golshifteh Farahani",Nora Twomey
82,Captain Underpants: The First Epic Movie,2017,87%,"With a tidy plot, clean animation, and humor that fits its source material snugly, Captain Underpants: The First Epic Movie is entertainment that won't drive a wedge between family members.",George Beard and Harold Hutchins are two overly imaginative pranksters who spend hours in a treehouse creating comic books. When [More],"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",David Soren
83,Fair Play,2023,86%,"With assured style that's at times reminiscent of the best '90s nail-biting thrillers, Fair Play juxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world.","When a coveted promotion at a cutthroat financial firm arises, once supportive exchanges between lovers Emily (Phoebe Dynevor) and Luke [More]","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Chloe Domont
84,The Deepest Breath,2023,85%,"A compelling documentary that can feel like a thriller, The Deepest Breath couples real-life tragedy with stunning footage of the ocean's depths.","A champion freediver trains to break a world record with the help of an expert safety diver, and the two [More]",Alessia Zecchini,Laura McGann
